-210,260
-23.259724614,352.879409732,71.9437609835
-23.1048099284,353.354340919,71.9253024836
-22.9522983843,353.821171501,71.8907124837
-22.7887807876,354.320650568,71.8548494836
-22.6359330986,354.787020506,71.8531589837
-22.4777035876,355.26975431,71.8508319836
-22.3248231977,355.73611353,71.8491414837
-22.1665598385,356.218836238,71.8468144835
-22.0026596065,356.718189877,71.8109514834
-21.8386942274,357.217171347,71.8079879839
-21.6770260083,357.708367624,71.7559934836
-21.5154026858,358.198876949,71.7697979836
-21.3562281265,358.681650885,71.7345714834
-21.191349971,359.180682484,71.6987084836
-21.0289908351,359.671299802,71.6796134836
-20.8662224691,360.16213262,71.6276189837
-20.7004130724,360.660855576,71.5917559835
-20.5397391031,361.143132559,71.5565294837
-20.3787686514,361.625310666,71.5213029839
-20.2120341282,362.123725093,71.4854399835
-20.0504655401,362.605703106,71.4502134839
-19.8804944434,363.111940992,71.4304819836
-19.7158403017,363.601792864,71.4113869836
-19.5538934718,364.083292322,71.4090599835
-19.3974218571,364.548458925,71.4073694839
-19.2299458317,365.046273081,71.4044059837
-18.9178202721,365.989062319,71.9596799836
-18.7580980416,366.485217378,72.3515104835
-18.594143559,367.006965918,72.7588359835
-18.4317524141,367.537693176,73.2151924834
-18.2735935775,368.069697019,73.6715489832
-18.1174109714,368.61108071,74.1440369828
-17.9747439436,369.120835869,74.5848984831
-17.8405210994,369.615050533,75.0263964828
-17.7041113029,370.13456277,75.5491884829
-17.5726785479,370.655012447,76.1048799829
-17.4462995527,371.176712346,76.6605714826
-17.3270456881,371.691078208,77.2330309824
-17.2109627711,372.215165216,77.7887224824
-17.0985187784,372.748338975,78.3934449818
-16.9867516957,373.307859193,79.0136624821
-16.8808248967,373.868853861,79.6009804817
-16.7790301098,374.439533569,80.1715304815
-16.6827035764,375.011499926,80.7091809817
-16.5874878853,375.603472758,81.0158984816
-16.4926605667,376.206422836,81.1084509816
-16.3954664096,376.827450544,81.1016684817
-16.3041078495,377.406982151,80.9813289815
-16.2117511083,377.986018093,80.8938889816
-16.1199903574,378.556257877,80.8232169815
-16.0292284195,379.117428028,80.8022124816
-15.9422965436,379.653211381,80.7657129817
-15.8577959795,380.171937703,80.7298499813
-15.7718866548,380.698654641,80.7430179816
-15.6833262732,381.242392933,80.7555494815
-15.5933944983,381.794803256,80.7513129814
-15.5047031074,382.338857865,80.7309449817
-15.421379282,382.848880396,80.7118499817
-15.337685132,383.359179999,80.6598554814
-15.2494223194,383.894745707,80.6233559816
-15.163836366,384.41295628,80.6203924817
-15.0795286053,384.922817088,80.6012974817
-14.9937431506,385.440994672,80.5983339813
-14.9092391029,385.950822985,80.5792389822
-14.8247660288,386.460318614,80.5930434809
-14.704451508,387.203930695,81.0256304812
-14.6184297221,387.761462408,81.4323194819
-14.5354295643,388.327652767,81.8880394808
-14.455857755,388.902863048,82.3598909807
-14.3812338686,389.478399842,82.8646419813
-14.3126153334,390.046176627,83.3532614811
-14.2499021789,390.605802082,83.8586489806
-14.1931091329,391.157233781,84.3808044804
-14.1413437563,391.709160148,84.9029599801
-14.0952458235,392.253112638,85.4089839791
-14.0522776238,392.822735489,85.9634024803
-14.0151147633,393.384636292,86.4687899802
-13.9830900193,393.946519282,87.0070769807
-13.9581515969,394.466151121,87.4976059811
-13.9369813643,395.003190026,87.9874984794
-13.9207517937,395.531617079,88.4941589808
-13.9093545637,396.059836859,89.0337189798
-13.9028802171,396.605033698,89.6055419802
-13.9017877085,397.14182159,90.1612334802
-13.9061965992,397.686705495,90.7659559781
-13.9171519631,398.265622146,91.4023049785
-13.934355994,398.835603052,92.0554219789
-13.9577561912,399.406030904,92.642739978
-13.9856135464,399.950554069,93.2145629784
-14.0587552513,401.055819465,94.3575724771
-14.1042864186,401.616434917,94.9287589782
-14.157101719,402.193376379,95.532208478
-14.2167972424,402.778472672,96.1188899776
-14.2844011234,403.38004573,96.7049349779
-14.3560590218,403.963797709,97.2916164775
-14.4371613198,404.572222086,97.8937929788
-14.528398467,405.20515832,98.5114644784
-14.6250705922,405.828741485,99.1130044773
-14.728408246,406.450916611,99.7474439767
-14.8386288053,407.071909353,100.381883476
-14.9508722731,407.666432759,101.000827978
-15.0712726553,408.267974235,101.635903976
-15.1983330913,408.868144249,102.270979975
-15.3282868246,409.450056395,102.906692476
-15.4706437626,410.055463114,103.557899976
-15.6177617387,410.651034017,104.192975975
-15.7735836524,411.253460261,104.811283977
-15.9291229859,411.829407423,105.414096977
-16.0930060176,412.412161898,106.000141975
-16.2628410277,412.993209657,106.586186975
-16.4386796068,413.572120246,107.205131476
-16.6233181767,414.15749739,107.807307974
-16.8195179427,414.756902271,108.441747477
-17.0000586197,415.289953057,108.980034474
-17.1828212959,415.812601179,109.567988975
-17.3797764802,416.357094673,110.204337976
-17.5767306387,416.88323328,110.841323475
-17.7795218482,417.407149781,111.478308975
-17.9880990417,417.929149037,112.082394974
-18.2022121377,418.448180507,112.752279974
-18.4325187693,418.988258227,113.437659973
-18.6623260685,419.50977762,114.123676474
-18.8983501608,420.028879575,114.776793475
-19.1475924016,420.560484121,115.462173474
-19.4031757854,421.089069234,116.147553472
-19.672744333,421.629978261,116.832296972
-19.9526920608,422.175101615,117.533171972
-20.2392873585,422.717136979,118.201147472
-20.5280727597,423.248414795,118.852991474
-20.8228835951,423.776372839,119.504835473
-21.1322476336,424.31588807,120.156042972
-21.4608215702,424.873932108,120.822745473
-21.8003268433,425.435678244,121.472679971
-22.1327305091,425.974416517,121.876822972
-22.4782164024,426.528449735,122.017133473
-22.8205541912,427.075669621,122.042613972
-23.1540433257,427.608892079,122.002931971
-23.4780692671,428.128107998,121.930986972
-23.8014963575,428.648481993,121.793242971
-24.1236458073,429.169256139,121.688398471
-24.4358091147,429.675950881,121.584190471
-24.7424698438,430.174940294,121.562549472
-25.0444198768,430.66651954,121.557676473
-25.3463280998,431.158124465,121.552803474
-25.6346583082,431.627549604,121.565334971
-25.9050581096,432.067555791,121.579139472
-26.1800970615,432.515016099,121.576175971
-26.4551128699,432.962490633,121.573212473
-26.7346794159,433.41786471,121.520581471
-27.0138275454,433.873495402,121.467950472
-27.2835265434,434.314322232,121.448855473
-27.5531257549,434.755600671,121.396860973
-27.8267845843,435.204296767,121.360997971
-28.1002068882,435.653527202,121.292235471
-28.368598844,436.09554095,121.240240971
-28.6455143017,436.552532017,121.187609972
-28.9086192293,436.98748375,121.152383473
-29.1714566909,437.422597163,121.117156973
-29.4206566089,437.835566197,121.099334973
-29.6741488785,438.255810179,121.097644473
-29.93210074,438.683617414,121.079185973
-30.1899638122,439.111867226,121.027827972
-30.4474429122,439.540348005,120.976469972
-30.7045860442,439.969419044,120.892212474
-30.9566574862,440.391293418,120.824722972
-31.2081823426,440.813105946,120.790132972
-31.4726475437,441.257092433,120.771037973
-31.7369217077,441.700804797,120.784842472
-32.0013888591,442.145177975,120.732847972
-32.2566117048,442.574618881,120.714389472
-32.5204897365,443.018954596,120.695294473
-32.7886340639,443.470967827,120.659431471
-33.0520857685,443.915556449,120.640336472
-33.3242012973,444.375421804,120.587705473
-33.5870962351,444.82033988,120.568610474
-33.8498428794,445.265345545,120.549515472
-34.1255847823,445.732878812,120.513015974
-34.3878995108,446.178139213,120.493920972
-34.6500658334,446.623487012,120.474825972
-34.9208150922,447.0837715,120.455094471
-35.1870232772,447.53654115,120.452130973
-35.4575534237,447.996567871,120.465298972
-35.715154281,448.434801839,120.430072473
-35.9768241602,448.880441511,120.410977474
-36.2470603254,449.341027427,120.391245972
-36.5214755471,449.808954309,120.387645972
-36.7871505482,450.262037025,120.384682473
-37.0353815155,450.685410055,120.382991974
-37.2835999914,451.108790408,120.381301474
-37.5535975626,451.569516229,120.361569973
-37.8190663319,452.022719809,120.358606471
-38.0714340391,452.453458557,120.373047472
-38.3718207319,452.966064039,120.367537974
-38.6199250024,453.389511326,120.365847471
-38.8723471439,453.820218177,120.380288472
-39.1248778342,454.250861393,120.394729473
-39.377517057,454.681440947,120.409170474
-39.6303098283,455.112316807,120.390711971
-39.8742538825,455.528412135,120.372889974
-40.1223977068,455.951836246,120.371199474
-40.3749494751,456.383239618,120.319841473
-40.6141088085,456.792734625,120.252988472
-40.8571001121,457.209772804,120.202266973
-41.1040276839,457.634292929,120.167676973
-41.3593073977,458.073497634,120.165349974
-41.6058701103,458.497458887,120.196558972
-41.857062264,458.929269835,120.178100472
-42.1124632206,459.368789532,120.142873972
-42.35025745,459.778308213,120.141819972
