210,260
318.532545898,255.462019194,-3.91634349894
319.061111101,255.42772389,-3.5083814989
319.598019677,255.396955053,-3.05138849939
320.126716846,255.370811094,-2.6105269997
320.664368381,255.348291104,-2.18643349952
321.184627963,255.330508531,-1.7288039997
321.68779286,255.317335586,-1.27053799987
322.199162447,255.308258809,-0.763240999965
322.77038305,255.303413112,-0.208822499967
323.332843896,255.304166755,0.36236399986
323.887159678,255.310198565,0.884519499902
324.424511267,255.320792693,1.37441199968
324.961752633,255.335980862,1.86430449946
325.515380663,255.356686242,2.41935949946
326.06068929,255.382138812,2.92538349937
326.622609639,255.413501194,3.46367049924
327.192977162,255.450629427,3.98518949897
328.27301061,255.535310275,4.98110599866
328.867752525,255.589955329,5.51811999883
329.428027018,255.646577605,6.02350749875
330.004553719,255.710148656,6.56115799861
330.571731064,255.778165693,7.1155764983
331.163672248,255.855051032,7.68548999844
331.763526674,255.938950084,8.23863549813
332.362543179,256.028636258,8.79178099813
332.960665934,256.124101194,9.34492649781
333.54952578,256.2238414,9.88194049767
334.137424944,256.32909633,10.4189544975
334.707383918,256.436665298,10.9566049977
335.284576962,256.551303304,11.5103869974
335.860274018,256.671611776,12.0970684971
336.434709013,256.797808702,12.683749997
337.008184668,256.929791112,13.237531997
337.563245424,257.063369034,13.8248499967
338.125443068,257.204688943,14.3953999965
338.677691247,257.349455833,14.9827179964
339.261295491,257.509026389,15.6016624963
339.801907062,257.663061447,16.2057484961
340.34123024,257.822727603,16.7769349963
340.862466162,257.9827108,17.3487579961
341.390471259,258.150470529,17.9038129961
341.900094502,258.318007483,18.4924039957
342.415941375,258.493563493,19.0971264955
342.945787546,258.680314152,19.7341119955
343.473893472,258.872906471,20.3381979953
344.008555137,259.074036682,20.8926164953
344.564410386,259.28975562,21.5283289954
345.110029112,259.508408731,22.147909995
345.645476979,259.729647264,22.7513594947
346.194416797,259.963255255,23.3541724948
346.740494217,260.202648591,23.9898849942
347.283881943,260.448085948,24.6255974943
347.817263202,260.695887605,25.2122789942
348.363252004,260.956565382,25.8312234941
348.89130129,261.215534838,26.4179049938
349.416671216,261.479897598,27.0045864937
349.939680565,261.749628768,27.5583684938
