210,260
381.235700332,324.058674216,77.577742099
381.343252862,324.546517068,77.567142699
381.450459035,325.034436151,77.607818299
381.553321668,325.505672083,77.686468899
381.6559505,325.976958989,77.714894499
381.764053048,326.473328149,77.7123089436
381.868148716,326.953110409,77.7585845435
381.970839315,327.42438386,77.7073851436
382.07614528,327.903901929,77.6140107436
382.185892798,328.400080644,77.5278113436
382.292538662,328.879302497,77.4538619437
382.402074849,329.366703788,77.3340625437
382.511876852,329.854045265,77.3028131438
382.621312009,330.34146925,77.3459387437
382.732415238,330.837346158,77.3712143437
382.837622692,331.308064138,77.4012149437
382.946293544,331.795659093,77.4357655437
383.057105508,332.29160117,77.4048661437
383.166534472,332.779026546,77.3466667437
383.272334577,333.249611674,77.3290673437
383.38365954,333.745438849,77.3455929437
383.496871366,334.249669875,77.3455929437
383.606551475,334.737038799,77.3171435437
383.722004211,335.249594055,77.3060191437
383.828337885,335.720058905,77.2640947438
383.937159093,336.198791471,77.1936453438
384.05011121,336.694250504,77.1574959438
384.161314851,337.181274061,77.1379715438
384.270571937,337.659736415,77.1360932103
384.380187613,338.138287697,77.0985438103
384.489773924,338.616674753,77.0966654768
384.602954794,339.112081581,77.1310410768
384.716109726,339.607323407,77.1284555214
384.827261221,340.094358867,77.1441061214
384.932631144,340.556039304,77.1429350104
385.042218907,341.034596977,77.1018856104
385.155404575,341.530002709,77.1304862104
385.263153229,342.00014551,77.0917118104
385.373509257,342.478526604,77.0098874105
385.482616082,342.948356069,76.9261380105
385.590272822,343.409679731,76.8642636105
385.700510315,343.879245189,76.7882142106
385.814935241,344.365521994,76.7587148106
385.923408179,344.826483237,76.7575436996
386.027941597,345.270674863,76.7570798105
386.134141738,345.723493662,76.8009054105
386.248408448,346.20980767,76.7773560105
386.360590547,346.687763841,76.7910816105
386.468993583,347.148912706,76.7715572105
386.581491181,347.626794716,76.7532578105
386.690008022,348.087745626,76.7520866996
386.800330146,348.557291208,76.7778872996
386.90864883,349.018288723,76.7767161886
387.024589823,349.513056871,76.8116167886
387.136570427,349.990889143,76.8097384551
387.252500776,350.485488636,76.8071528997
387.364307273,350.96353281,76.8361034996
387.474064127,351.433210846,76.8468540996
387.589674055,351.927885334,76.8442685439
387.705211503,352.422747873,76.8583441439
387.820517031,352.917664503,76.8851947439
387.938455586,353.420810945,76.8079203439
388.054428499,353.915571612,76.8079203439
388.168201883,354.40200127,76.8354709439
388.28578255,354.905231468,76.8486715439
388.394820828,355.375076845,76.9344971439
388.505806218,355.853312319,76.9344971439
388.619029375,356.339870344,76.9002727439
388.740622633,356.859853088,76.8383983439
388.858139161,357.363098267,76.8559739439
388.965829466,357.824242977,76.8548028326
389.079302863,358.310742703,76.8708034326
389.194706009,358.805465472,76.8682178768
389.30621452,359.283408133,76.8663395437
389.42165621,359.778121909,76.8637539879
389.535316603,360.264577981,76.8487795879
389.649211098,360.750979296,76.8212051879
389.763780801,361.237222011,76.741655788
389.876974315,361.714939661,76.669806388
389.998589887,362.226067705,76.616156988
390.112199921,362.703515184,76.6142786548
390.229816878,363.197716313,76.6116930991
390.343464109,363.675154939,76.6098147659
390.461119568,364.169346903,76.6072292102
390.583090403,364.680390287,76.5763298102
390.705037234,365.191268084,76.5730370329
390.82483564,365.693974944,76.5960376329
390.944808414,366.196640218,76.5761632329
391.063093478,366.690853207,76.5400138329
391.1858744,367.201702568,76.4854894329
391.30689814,367.704115844,76.456340033
391.428016356,368.206506351,76.445565633
391.551492597,368.717188095,76.407491233
391.671506564,369.210984087,76.339491833
391.792355258,369.704576458,76.2426174331
391.917190733,370.21492764,76.2549430331
392.037870775,370.708561271,76.262193633
392.165153747,371.227180611,76.2106442331
392.288740939,371.728969462,76.1638198331
392.410239625,372.222230623,76.1612342773
392.527636923,372.69876101,76.1593559445
392.653298439,373.20873781,76.1560631665
392.885599425,374.180472872,76.5553137664
393.001794582,374.692860333,77.2230143661
393.116952223,375.231933891,77.9416399657
393.226919261,375.780877143,78.6721655654
393.329787717,376.3311948,79.4121411651
393.426691928,376.891336966,80.1850167647
393.510303023,377.418761045,80.9920173643
393.583243619,377.930371751,81.8859929639
393.652616011,378.468542323,82.6548435636
393.714645424,379.007608595,83.4359441632
393.768405105,379.547562288,84.3141697628
393.813076044,380.079700881,85.2014953624
393.849970956,380.621068463,86.101245962
393.880103743,381.171480671,86.8664215617
393.904713718,381.748031294,87.5558221613
393.922275614,382.324839625,88.256072761
393.932244345,382.910443472,89.0247483607
393.934513422,383.496127766,89.7780239603
393.929156578,384.099018795,90.50907456
393.919264308,384.710466675,90.9268751598
393.909137412,385.338972493,90.9193390488
393.899909301,385.924588479,90.9027896489
393.891542562,386.510217404,90.8185152489
393.884780304,387.087253403,90.671415849
393.87965474,387.655692846,90.516616449
393.874762157,388.198294133,90.516616449
393.869433686,388.723664319,90.581092049
393.863570278,389.257642403,90.629117649
393.857104531,389.808840895,90.672068249
393.850562701,390.368485509,90.6673610265
393.843942853,390.919682171,90.6880866265
393.837873379,391.436430666,90.6729372265
393.83214414,391.953183044,90.6352128266
393.826227158,392.495774127,90.6247884266
393.820514926,393.020973635,90.6214956489
393.814776141,393.537725908,90.6362712489
393.808958652,394.06292426,90.6329784706
393.803461958,394.579679165,90.6094290706
393.797800436,395.096432289,90.6277046706
393.788081489,395.854320044,90.7347052706
393.777493027,396.422683974,91.0672808704
393.759876726,396.999490646,91.7493314701
